rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,time_delta_with_previous_rental_in_minutes,is_outlier
505000,363965,mobile,canceled,,,False
507750,269550,mobile,ended,-81.0,,False
508131,359049,connect,ended,70.0,,False
508865,299063,connect,canceled,,,False
511440,313932,mobile,ended,,,False
511626,398802,mobile,ended,-203.0,,True
511639,370585,connect,ended,-15.0,570.0,False
512303,371242,mobile,ended,-44.0,,False
512475,322502,mobile,canceled,,,False
513434,256528,connect,ended,23.0,,False
513743,330658,mobile,canceled,,,False
514161,366037,connect,canceled,,,False
514257,402596,mobile,ended,214.0,,False
515147,257466,mobile,ended,15.0,,False
516586,347394,mobile,canceled,,,False
518282,364160,connect,ended,-81.0,,False
518366,397217,mobile,ended,-156.0,,False
518895,398816,mobile,ended,66.0,,False
518938,382243,mobile,ended,215.0,,False
519491,312389,mobile,ended,58.0,420.0,False
519795,383720,connect,ended,-159.0,,False
520095,404496,mobile,ended,-16.0,,False
520285,243659,mobile,canceled,,,False
521156,392479,mobile,ended,,0.0,False
521191,224745,mobile,ended,1452.0,,True
521352,403184,mobile,ended,-29.0,,False
521482,254172,mobile,canceled,,,False
521734,190995,mobile,ended,-251.0,,True
522602,391287,mobile,ended,35.0,,False
522717,335353,mobile,ended,,,False
523800,352799,mobile,ended,-345.0,,True
524408,380247,mobile,canceled,,,False
524422,298040,mobile,canceled,,,False
524806,337859,mobile,ended,-26.0,,False
525044,349751,mobile,ended,,60.0,False
525817,351617,mobile,ended,22.0,,False
526798,356877,mobile,ended,-15.0,,False
527377,306450,connect,ended,52.0,,False
527569,314220,mobile,ended,-2.0,,False
527627,402562,connect,ended,-1.0,,False
528808,181625,connect,ended,-76.0,330.0,False
528974,373328,mobile,canceled,,,False
529170,341798,mobile,canceled,,,False
529193,374877,mobile,ended,15.0,,False
529288,381098,mobile,canceled,,,False
529347,391792,mobile,ended,,,False
529458,331480,mobile,ended,,,False
529852,363433,mobile,ended,-68.0,,False
530646,259092,mobile,ended,-340.0,,True
530700,221171,mobile,ended,130.0,,False
531158,404169,mobile,ended,29.0,,False
531507,355554,mobile,ended,-4.0,,False
531526,404562,mobile,ended,-160.0,,False
531955,317639,mobile,ended,-30.0,,False
531961,234356,mobile,ended,-47.0,,False
532245,361468,connect,ended,-63.0,,False
532416,275810,mobile,ended,-148.0,,False
532495,378257,mobile,ended,44.0,,False
532802,373061,mobile,ended,-98.0,,False
533294,364052,mobile,ended,-33.0,,False
533303,336902,mobile,ended,-340.0,,True
533380,314456,connect,ended,-167.0,,False
533442,389958,mobile,ended,31.0,,False
533611,388597,mobile,canceled,,,False
533670,320824,connect,ended,-6.0,630.0,False
533683,271380,mobile,ended,79.0,,False
533696,408511,mobile,ended,,,False
533790,394562,mobile,ended,30.0,,False
534017,370797,mobile,canceled,,,False
534091,399459,mobile,canceled,,,False
534611,392176,mobile,ended,33.0,,False
534654,303652,mobile,ended,-52.0,,False
534789,395243,mobile,ended,44.0,,False
534820,373893,connect,ended,-576.0,,True
534827,404169,mobile,ended,-7.0,90.0,False
534882,194379,mobile,canceled,,,False
534926,390702,connect,ended,-178.0,,False
534943,358567,connect,ended,37.0,,False
534956,344594,mobile,ended,24.0,,False
535071,358480,mobile,ended,40.0,,False
535116,380364,mobile,ended,137.0,,False
535139,384575,mobile,ended,249.0,,True
535313,396552,mobile,ended,23.0,,False
535331,402083,connect,ended,-108.0,,False
535399,362659,mobile,ended,-6.0,,False
535514,348178,mobile,ended,-150.0,,False
535601,376381,mobile,ended,9.0,,False
535611,397814,mobile,ended,68.0,300.0,False
535726,375944,connect,ended,38.0,,False
535738,398733,mobile,ended,-1.0,,False
535770,352436,mobile,ended,74.0,60.0,False
535821,381583,mobile,ended,-10.0,,False
536108,337311,mobile,ended,-843.0,,True
536190,394560,mobile,canceled,,,False
536343,369230,mobile,ended,780.0,,True
536444,389785,connect,ended,-130.0,,False
536914,363387,mobile,canceled,,,False
536978,378931,mobile,ended,271.0,,True
536990,193354,mobile,ended,-12.0,,False
537040,267735,mobile,ended,933.0,,True
537060,223654,mobile,canceled,,,False
537069,403304,mobile,canceled,,,False
537082,359641,mobile,ended,1967.0,,True
537277,342067,mobile,ended,-125.0,,False
537352,349280,mobile,ended,-96.0,,False
537381,338052,mobile,ended,205.0,,False
537464,300336,mobile,canceled,,,False
537576,397470,mobile,ended,18.0,0.0,False
537627,390736,mobile,ended,48.0,,False
537677,389994,mobile,ended,266.0,,True
537705,404731,mobile,ended,36.0,,False
537803,390467,connect,canceled,,,False
537822,396544,mobile,ended,-35.0,,False
537923,313085,mobile,ended,80.0,,False
538012,192803,mobile,ended,3233.0,,True
538105,243218,mobile,ended,-24.0,,False
538184,347242,mobile,ended,-129.0,,False
538194,380708,connect,ended,2.0,,False
538251,401964,mobile,ended,-37.0,,False
538328,409359,mobile,ended,8.0,,False
538437,408937,mobile,ended,-155.0,,False
538501,396281,mobile,ended,134.0,,False
538569,406984,mobile,ended,-15.0,,False
538660,297511,mobile,ended,13.0,,False
538678,351549,connect,ended,-348.0,,True
538852,311437,mobile,ended,-120.0,,False
538882,369219,mobile,ended,85.0,,False
539071,388231,mobile,ended,-35.0,,False
539196,347612,mobile,ended,66.0,,False
539241,394966,mobile,ended,,,False
539262,359046,mobile,ended,32.0,,False
539369,390467,connect,ended,41.0,,False
539396,388032,mobile,ended,3.0,,False
539451,355444,connect,ended,-536.0,,True
539558,370997,connect,canceled,,,False
539688,369483,mobile,ended,216.0,,False
539711,320531,mobile,ended,,,False
539865,277766,mobile,ended,28.0,,False
539923,247971,mobile,ended,-51.0,,False
539995,258837,mobile,ended,93.0,,False
540018,245480,mobile,ended,-196.0,,True
540190,365531,mobile,ended,9.0,,False
540217,398802,mobile,ended,-988.0,720.0,True
540298,202057,mobile,ended,-6.0,,False
540330,362860,mobile,ended,-18.0,,False
540360,404476,mobile,ended,,,False
540369,341086,mobile,ended,-62.0,,False
540434,402505,mobile,ended,210.0,,False
540479,374684,mobile,ended,12.0,0.0,False
540553,303506,mobile,ended,-24.0,,False
540633,396732,mobile,ended,-5.0,,False
540643,217777,connect,canceled,,,False
540649,352528,connect,ended,90.0,,False
540733,393558,mobile,ended,15422.0,,True
540735,314897,mobile,ended,-14.0,,False
540966,405906,mobile,ended,11.0,,False
541014,321607,mobile,ended,-7.0,,False
541060,280562,mobile,ended,146.0,,False
541174,284552,mobile,ended,-25.0,,False
541334,372670,mobile,ended,,,False
541372,387559,mobile,ended,13.0,,False
541444,397413,mobile,ended,901.0,,True
541590,378418,mobile,canceled,,,False
541784,408830,mobile,ended,52.0,,False
541862,382364,mobile,ended,125.0,0.0,False
541884,398604,mobile,ended,,,False
541948,321674,mobile,ended,165.0,,False
541991,329496,mobile,ended,-25.0,,False
542033,164574,mobile,ended,,,False
542106,392656,mobile,ended,,,False
542149,371368,mobile,ended,83.0,,False
542203,388268,mobile,ended,69.0,,False
542222,207728,mobile,ended,156.0,,False
542300,307595,mobile,ended,,30.0,False
542336,374400,mobile,canceled,,,False
542339,322005,mobile,ended,12.0,,False
542374,409676,mobile,ended,50.0,180.0,False
542400,315909,mobile,ended,-7.0,,False
542413,409980,mobile,canceled,,,False
542520,401751,mobile,ended,183.0,,False
542549,221978,mobile,canceled,,,False
542661,391512,mobile,ended,-170.0,,False
542894,218964,mobile,ended,-36.0,,False
542942,358082,connect,ended,-106.0,,False
543012,393044,mobile,ended,9.0,,False
543050,379428,mobile,ended,-21.0,,False
543088,200316,mobile,ended,64.0,,False
543150,410052,mobile,ended,23.0,,False
543180,350521,mobile,ended,14.0,,False
543186,395671,mobile,ended,5.0,,False
543243,344149,mobile,ended,300.0,,True
543251,409296,mobile,ended,-18.0,,False
543257,389929,mobile,ended,,,False
543287,377312,mobile,ended,12.0,,False
543321,371572,connect,ended,48.0,,False
543328,358772,connect,ended,-9.0,240.0,False
543437,409808,mobile,ended,-57.0,,False
543443,356551,connect,ended,-529.0,,True
543464,399161,mobile,ended,670.0,,True
543614,378939,mobile,ended,-1087.0,,True
543676,390481,mobile,ended,-53.0,,False
543679,225795,connect,ended,64.0,540.0,False
543681,368432,mobile,ended,2.0,,False
543761,294189,mobile,ended,24.0,,False
543768,374169,connect,canceled,,210.0,False
543780,319708,mobile,ended,55.0,,False
543808,369230,mobile,ended,75.0,60.0,False
543879,270665,mobile,ended,,,False
543906,401666,mobile,ended,,,False
543984,313085,mobile,ended,-44.0,,False
544164,301301,connect,ended,-244.0,,True
544167,306607,connect,ended,337.0,,True
544197,387939,connect,ended,39.0,,False
544443,337047,mobile,ended,56.0,,False
544489,405565,mobile,canceled,,,False
544586,312389,mobile,ended,31.0,,False
544617,367627,mobile,ended,-23.0,,False
544642,176755,mobile,canceled,,,False
544763,394781,mobile,ended,233.0,,True
544777,387810,connect,ended,50.0,,False
544937,348400,mobile,ended,108.0,,False
544967,373545,mobile,ended,56.0,,False
544980,350135,mobile,ended,-2.0,,False
545064,194343,connect,ended,74.0,,False
545068,374684,mobile,ended,-31.0,,False
545171,292910,mobile,ended,7.0,,False
545202,367365,connect,canceled,,,False
545214,363658,mobile,ended,302.0,,True
545272,370585,connect,ended,-98.0,,False
545319,353251,mobile,ended,93.0,,False
545320,224133,mobile,ended,20.0,,False
545333,217777,connect,canceled,,,False
545357,408467,mobile,ended,,,False
545438,393172,connect,ended,-467.0,,True
545640,312840,connect,canceled,,,False
545741,409096,mobile,ended,20.0,,False
545763,366310,mobile,ended,69.0,,False
545782,382901,mobile,ended,-9.0,,False
545922,409695,mobile,ended,-80.0,,False
545947,396470,mobile,ended,-44.0,,False
546024,381038,mobile,ended,163.0,,False
546150,242106,mobile,ended,-2.0,,False
546160,352528,connect,canceled,,630.0,False
546169,409274,mobile,ended,10.0,,False
546252,408509,mobile,ended,-52.0,,False
546365,384056,mobile,canceled,,,False
546477,383309,mobile,ended,16.0,660.0,False
546484,409391,mobile,ended,92.0,,False
546491,366448,mobile,canceled,,,False
546564,392732,mobile,ended,7.0,,False
546738,288953,mobile,ended,,,False
546745,342645,connect,ended,-55.0,,False
546822,394781,mobile,ended,30.0,,False
546865,399535,mobile,ended,261.0,,True
546888,295783,connect,ended,84.0,,False
546935,348526,connect,ended,85.0,,False
546938,410452,mobile,ended,10.0,,False
546957,405122,mobile,ended,-113.0,,False
546991,377219,connect,ended,423.0,,True
547033,276276,mobile,ended,500.0,,True
547039,409872,mobile,ended,,,False
547072,395489,mobile,canceled,,,False
547122,385574,connect,ended,-5.0,,False
547160,409344,mobile,ended,1.0,,False
547177,214635,connect,ended,-548.0,,True
547188,231676,mobile,ended,266.0,30.0,True
547198,381684,mobile,ended,145.0,,False
547223,188944,connect,ended,8.0,,False
547236,392147,mobile,ended,-8.0,,False
547348,374614,mobile,ended,74.0,,False
547557,408406,mobile,ended,126.0,,False
548028,409718,mobile,ended,15.0,,False
548177,411835,mobile,canceled,,,False
548215,367346,mobile,ended,-8.0,,False
548279,317330,connect,ended,-692.0,,True
548352,409458,mobile,ended,195.0,,False
548355,375311,mobile,canceled,,,False
548453,374241,mobile,canceled,,,False
548598,288973,mobile,ended,-133.0,,False
548603,363820,mobile,ended,-22.0,,False
548646,282893,mobile,ended,201.0,,False
548702,406104,mobile,ended,21.0,,False
548897,278005,mobile,ended,-307.0,,True
548904,373316,mobile,ended,-40.0,,False
548912,411521,mobile,ended,225.0,60.0,True
548973,227830,mobile,canceled,,,False
549047,369608,mobile,ended,-37.0,,False
549135,394752,mobile,canceled,,,False
549261,360829,mobile,ended,-12.0,,False
549266,411687,mobile,ended,-11.0,,False
549273,175887,connect,ended,-26.0,,False
549290,364907,connect,ended,-49.0,,False
549340,181607,mobile,ended,381.0,,True
549345,369881,connect,ended,22.0,,False
549444,177058,mobile,ended,144.0,,False
549446,391174,mobile,ended,69.0,,False
549499,408814,mobile,ended,19.0,,False
549558,328016,mobile,ended,10.0,,False
549579,273263,mobile,ended,-5.0,,False
549674,390702,connect,ended,-127.0,,False
549692,358131,mobile,ended,-158.0,,False
549808,310219,connect,ended,54.0,,False
549874,409690,mobile,ended,3.0,,False
549901,383481,mobile,ended,201.0,,False
549923,407730,mobile,ended,167.0,,False
549983,356540,mobile,ended,,,False
550000,378182,mobile,ended,-136.0,,False
550134,294883,mobile,ended,-158.0,,False
550211,407838,mobile,ended,20.0,,False
550224,358567,connect,ended,-7.0,,False
550246,408578,mobile,ended,-15.0,,False
550248,382901,mobile,ended,-127.0,60.0,False
550459,295815,mobile,ended,82.0,,False
550537,239798,connect,ended,37.0,,False
550660,399967,mobile,ended,0.0,,False
550723,380886,mobile,ended,,120.0,False
550808,346652,connect,ended,-41.0,,False
550929,310681,connect,ended,-25.0,,False
550964,229360,mobile,canceled,,,False
551031,409711,mobile,ended,-1283.0,,True
551040,383343,mobile,ended,40.0,,False
551069,359880,connect,ended,-22.0,180.0,False
551108,291723,mobile,ended,211.0,,False
551128,382939,mobile,ended,97.0,,False
551137,295783,connect,ended,16.0,,False
551179,304570,mobile,ended,536.0,,True
551227,341710,mobile,ended,159.0,,False
551311,409112,mobile,ended,,,False
551317,283001,mobile,ended,-7.0,,False
551364,406062,connect,ended,34.0,,False
551429,277888,mobile,ended,203.0,,False
551591,304055,mobile,ended,,,False
551679,381233,mobile,ended,275.0,,True
551695,374293,mobile,canceled,,,False
551795,382793,mobile,ended,-193.0,,True
551868,409330,mobile,ended,,,False
551907,171249,mobile,ended,11.0,,False
552204,348625,mobile,ended,91.0,,False
552209,412676,mobile,ended,23.0,,False
552233,245154,connect,ended,4.0,,False
552265,408202,mobile,ended,-28.0,,False
552312,384045,mobile,canceled,,,False
